id,athlete_id,plan_exercises_id,performed_date,set_number,reps_done,is_completed
136,20,1,6/20/2026,2,10,1
137,20,1,6/20/2026,3,10,1
138,20,1,6/20/2026,4,10,1
139,20,2,6/20/2026,1,12,1
140,20,2,6/20/2026,2,12,1
141,20,2,6/20/2026,3,12,1
142,20,4,6/19/2026,1,10,1
143,20,4,6/19/2026,2,10,1
144,20,4,6/19/2026,3,10,1
145,20,1,6/18/2026,1,10,1
146,20,1,6/18/2026,2,10,1
147,20,1,6/18/2026,3,10,1
148,20,1,6/18/2026,4,10,1
149,21,1,6/15/2026,1,10,1
150,21,1,6/15/2026,2,10,1
151,21,1,6/15/2026,3,10,1
152,21,1,6/15/2026,4,10,1
153,21,2,6/15/2026,1,12,1
154,21,2,6/15/2026,2,12,1
155,21,2,6/15/2026,3,12,1
156,21,4,6/14/2026,1,10,1
157,21,4,6/14/2026,2,10,1
158,21,4,6/14/2026,3,10,1
159,21,1,6/12/2026,1,10,1
160,21,1,6/12/2026,2,10,1
161,21,1,6/12/2026,3,10,1
162,21,1,6/12/2026,4,10,1
163,22,20,7/12/2026,1,0,0
164,22,20,7/12/2026,2,0,0
165,22,20,7/12/2026,3,0,0
166,22,21,7/11/2026,1,0,0
167,22,21,7/11/2026,2,0,0
168,22,22,7/10/2026,1,0,0
169,23,20,7/12/2026,1,0,0
170,23,20,7/12/2026,2,0,0
171,23,20,7/12/2026,3,0,0
172,23,21,7/11/2026,1,0,0
173,23,21,7/11/2026,2,0,0
174,23,22,7/10/2026,1,0,0
175,24,20,7/12/2026,1,0,0
176,24,20,7/12/2026,2,0,0
177,24,20,7/12/2026,3,0,0
178,24,21,7/11/2026,1,0,0
179,24,21,7/11/2026,2,0,0
180,24,22,7/10/2026,1,0,0
